Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
"@SuzanneEvans1 @Jo_Turandot @LadyTrumpington Surgeons &amp; nurses wear them for hours every day standing up w/o breaks during surgeries. Cowgirl up.
",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282689290649194496
"I try to be unbiased on my Twitter.

Which is why I’m saying Wear A Mask.

Because wearing a mask isn’t political or partisan. It’s common sense and kind to your fellow human.

We all have to do our part to slow the spread of COVID-19.

",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282611900052897801
@GOPLeader So 9 out of 10 members of Congress with Covid-19 is a Republican. Doesn’t that antidotal added to science tell you something? Covid-19 doesn’t care about your politics but the politics of the Republican Party have made it worse.,face_masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1289938782561562624
@AvantiWestCoast I’m in coach F en route to London Euston from Sandwell &amp; Dudley and two people opposite me do not have a facemask on? What is the process as I feel that it is irresponsible and also they’re not following the strict guidelines like others. #covid19,face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1277587369592586241
"When you wear a mask, wear it correctly... cover your mouth AND nose...
#WearAMask #besmart",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290515951822069760
@Placed2nd @AngelaBelcamino Omg people say I have to wear a mask and I'm crying because I have to wear a mask to save lives boo hoo!! MAGAts are stupid!!!,face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290201747500068865
"A cute girl told me she loved my @rob_sheridan mask today. I was at the liquor store, and I don't remember how human interaction works, but I guess we're in love. Anyway, put on a goddamn mask and stop packing restaurants fuck I want to leave my house more",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290169083866963968
"@Lowes employee correct mask wearing 100%
Customer mask wearing 90%
Customer correct mask wearing 50%
#coveryournose :mask: :mask: :mask: 
Special shoutout to the woman wearing a chin guard :rage:",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290301794111741954
"@Learning2GetBy What a bunch of hillbillies! That asshole  @DerekSloanCPC Is proud to show his supporters! :joy::joy::joy: it’s no Mensa meeting. And not a mask in site, wow, what brilliance! #canpoli #Manitoba",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290707854144475136
"@KrisTStacey1 @Walmart What’s Schantz.   The Democrat Governors of WA and NY have both done a great job combatting #COVID19..  The Democrat mayor of NYC is a damn idiot tho.  Don’t be a #COVIDIOT, Kris.  ",face_masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282660840198623232
"@ananavarro @nanelvisfan This pandemic, like any crisis, seems to squeeze the best and the worst of us out of the shadows. And he probably preaches about What Would Jesus Do. I’ll bet he’d wear a f**king mask.#COVIDIOTS",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290304453250146305
Can y’all wear masks so we can freely drink our coffees while shopping around without a mask around our faces?!,face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290358161715736577
"People who like to sew: a fat quarter of fabric is the perfect size to make two pleated masks :) cut it in half then in half again and double up two squares to make one mask. Make pleats By making 3-4 folds, sew the edges, and add ties. Done. #normalisemaskwearing ",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282619144794447872
I wonder what the coronation is to folks who buy lottery and don’t wear masks? #WearADamnMask,face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1276160520517804040
"@DrNickCrombie Dr Nick, I agree it’s brilliant...but I’m disappointed that so many comments here show that either people lack a sense of humour!  and/or don’t get how essential both vaccinations and mask wearing are for our survival! Shocking! :joy::face_with_symbols_on_mouth:

#WearADamnMask 
#MasksSaveLives",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1289913836405891074
Is there still a pandemic or not? Everyone out there having their best summer life and I'm like this sucks #socialdistancing #Covid_19,face_masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1290141719074230277
Is it lost on anyone that the exact same people who bitch and moan and refuse to where a mask to save another human life are the EXACT SAME people who doggedly defend the 2nd amendment after 50 people get shot dead by an AK-47? #therightiswrong #COVIDー19,face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290870630926098433
"A guy with no mask just knocked on my door. I have big loud dogs, he backed away. I stuck my head out and he yelled across the yard. He's selling frozen beef. Holy hell, he came to my door with no mask.",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1289661481013764098
"Y’all, wearing a mask is great. I can mouth the words to the weird song I have in my head and no one looks at me funny.",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290444488545107973
"It's ironic that some people refuse to wear a mask because they say it takes away their freedom, but when you do wear a mask, you have the freedom to go about anywhere &amp; in any store you want to. 
Please #WearAMask so we can beat this, then none of us will have to",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1294008661753376769
"Over 155,000 Americans have succumbed to Covid-19 and too many more will.

Your right to not wear a mask is disrespectful to all front line workers and your fellow citizens. 

Your right to not wear a mask contributes to our country’s horrific toll.",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290503959937863680
"— frickin’ idea what they’re talking about and how people like her are part of the problem. Sure, masks aren’t the cure for #COVID19 . But it certainly helps in being a preventative from the spread of the virus. So, again, #WearAMaskPlease.",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1290436710896205826
"A to Z #NoMasks 
Reason you r a Non-masker
You are:
Arrogant 
Brainless
Careless with others 
Dumb
Egotistical 
Fox News Watcher
Germ gigolo
Hypocrite 
Ill-informed￼
Jerk
KKK sympathizer 
Lame 
Manic
Narcissist￼
Oppressor 
#Covid_19 #DrFauci #coronavirus #MaskUp ",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282510652951625728
@Gay_Alcorn @BarnsGreg Why are you asking stupid questions? Give people an inch they take a mile #StayHomeSaveLives,face_masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1290515136403263499
"@CheyenneNDN @Glowysoe @RobynFlowers18 @OGKBEAR @Dadilicious2 @KingRezizt @WeinreichHolly @realCheeto1 @NicoleNunn20 @ccsllew @AmateurMmo @Pittsburgbitch @leahbake @Duke_of_Phale @Burgh_bitch @cookiem89151957 @TroianoNic @JTSand138138 @TrumpBear4 @comeundone0 @AndyPadrutt @BResisting @JoeBiden @MeidasTouch @Eiggam5955 @brianlewis3282 @waltsimsjr @onit1977 @jenjones207 @BigPixieKiss @Flyin_Nrs @Peatches66 @Boomer818 @Jeff_resist @babaloo2 @TruthfulReal1ty @BradyBoo75 @AngBonCan @Wikweko @Brentp56 @WilliamFPeters2 @BackNBlack1975 @CapAmerica1111 @BogdanoffElaine @TCRG2012 @YetiEye @100Mohawk @BrahmaGreg @Rob83753057 @RandomFSM I don't get the fight against facemasks. Ppl have worn clothes, shoes, hats, etc for years. Ppl wear seatbelts &amp; helmets. Athletes wear padding. Men wear condoms. No one ranted that rights were being violated when all of that stuff became a thing.",face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290127701437685760
Just worked the front end of a central Iowa grocery store. Counted 508 people. 68 had on masks.. #iowa #COVIDIDIOTS #grocery,face_masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1277451936191647745
I guess I should’ve know any effort to flatten the curve that depended on an overwhelming majority of Americans to refrain from being self-centered was doomed to fail.,face_masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282686090198036480
