Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
".@realDonaldTrump, #DrFauci must be permitted to testify before the #AppropriationsCommittee. #WeThePeople have faith in him, as well as in his education, experience, &amp; knowledge. #WhatAreYouTryingToHide? #Covid19 @NitaLowey @AppropsDems @HouseAppropsGOP",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1256380042474450944
"@BFoley82, Fauci's opening pitch showed he is the consummate professional. He didn't want anyone to catch anything. #TrumpVirus2020",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286540073924689923
@PeterNavarro45 I am extending an invite to you and all your cronnies to #Brooklyn #NYC to repeat the shit you have been talking about our boy @DrAnthonyF I will pay for all of your medical bills afterwards.  #FlattenTheCurve #COVID19 #pandemic,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1283506282809503745
"@RandPaul your smug partisanship during this hearing is just deplorable. Your attempt at attacking #DrFauci is disgusting &amp; to talk about being humble before doing so, just shines an LED light on your hypocrisy for everyone at home watching to see. #COVID19",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1260239783349059584
Rand Paul asking the hard questions... True #Patriot. Thank you.  #COVID19 #OPENAMERICANOW #WWG1WGA #TheGreatAwakening #DrFauci #RandPaul,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1260231896207949824
"@ShimonPro I saw this coming, after Trump conveniently dumped the no mask on #DrFauci yet he is the one that said its not required at his ralleys and wont wear one himself as he cant see himself greeting world leaders in one..as if they want to greet him that way anyway! He us not well...",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1281637891769118720
"Hey you , #WearAMask ! We can beat this, if we wear masks !",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1284663683059191814
It’s time for #DrFauci to resign from the #TrumpPressConference and go on his own. He should testify before Congress and hold his own pressers about the #coronavirus Right now he is the most trusted man in the USA. #COVID19 #VoteBlue2020 #Biden #wiunion,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1256656378187431939
"After the weird #RushLimbaugh #SOTU Medal of Freedom thing, @realDonaldTrump fix its image by awarding it to #DrAnthonyFauci . @JoeBiden will YOU get it done? Ask @DrBiden!
#Biden2020
#COVID19
#CovidUpdates
#MAGA2020
#Fauci
#FauciMedalOfFreedom
@FauciFan
#DrFauci  
#AnthonyFauci",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1249538486673129472
I don’t want to hear from Pence. I don’t want to hear from 45. I want to hear ONLY from Dr. Fauci and other well respected infectious disease experts. #COVID19 #DrFauci,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1233916138544865280
"@NicoleNonya @benpershing Thanks for the PSA!
...so for those who refuse to read, listen, lead by example or follow social responsibility....this picture should help.
#COVID19 
#Covid19isGettingCloser 
#Fauci",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1283872412162035714
@clarityx @michaelaltneu @GavinNewsom Oh hello Dr Lady. You really MUST contact #DrFauci with your proclamation on #masks So many #scientists and they’ve all been wrong. Thank goodness we have brainiacs like you to guide us #WearADamnMask,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1278442424088608769
"Lack of testing is a huge Trump failure
#TrumpLiesAmericansDie",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1288333122984017920
