Tweet,Target,Stance
"""Policy Over Politics"" & ""People Over Profits"" would he great mottos for his campaign. #Bernie",Bernie Sanders,FAVOR
"""Bernie knows""? Bernie knows it's bullshit, but he has to give Democrats something. Besides, If I can see the usefulness in Russian meme attacks( ) to change our voting &amp; educational systems I'm sure he does too. #PaperBallots #FreeEducation",Bernie Sanders,FAVOR
"Well, a sad day for all my communist friends. I guess they are gonna have to move to Cuba or wait another 4-8 years #BernieSanders Feel the burn!!!",Bernie Sanders,AGAINST
"Back in 1995, @SenSanders used his time to call out Rep. Duke Cunninghams bigotry on the floor of the House, demanding that he apologize for referring to gay soldiers as homos. On the right side of history before it was cool, time after time. #lgbtq",Bernie Sanders,FAVOR
"Anyone else NOT comforted by promises to get tested for #coronavirus? They're trying to sell being treated as a cure, which they're at least 2 years from. #WhiteHouseBriefing #CoronavirusPandemic #COVID19US #Covid_19 #SaturdayThoughts #Bernie",Bernie Sanders,AGAINST
"RT BernieSanders: RT People4Bernie: Ahead of the national #OrganizeWithBernie day of over 4500 local parties, we're leaking the #Bernie field plan. Our movement gets stronger by meeting people locally and having conversations. Get started today:",Bernie Sanders,FAVOR
"#BernieSanders #Bernie If were in the White House, there would be actions like this all across the country!",Bernie Sanders,NONE
Returning from four days in New Hampshire with my son and see that my daughter has been texting for Bernie. Its a family affair for us. #BernieForNH #BernieSanders,Bernie Sanders,FAVOR
I can legally change my address to MI & just did so I can volunteer & vote for #BernieSanders in MI.,Bernie Sanders,FAVOR
He is a Democratic Socialist and we love him for it! #DemocraticDebate #Centrists are #GOPLite #Bernie,Bernie Sanders,FAVOR
"Props to Julin I'm surprised he's going, and Bernie always does what's right.",Bernie Sanders,FAVOR
The world needs to know what the fuck happened. It is lunacy how we got this monster as president. #Bernie,Bernie Sanders,FAVOR
thats what Im saying. hes already thrown out such absurd numbers and it would be so easy to add reparations to his agenda at this point. real head scratcher why he hasnt honestly @BernieSanders #ADOS,Bernie Sanders,AGAINST
3/ I got so many notifications I decided to create a thread where people could opt in and I would add them to a new iteration of the #BernieLoveFest each Saturday. It was great but we didnt have as many spin-off convos as we had on the original #BLF,Bernie Sanders,FAVOR
Presidential hopeful Sen. Bernie Sanders to hold Town Hall event at Bennett College in Greensboro on Friday #Bernie via @JournalNow,Bernie Sanders,NONE
"Love my grandpa Bernie. I voted once for you, and Ill vote for you again. #myvoteisforbernie #BernieSanders",Bernie Sanders,FAVOR
"Here in Virginia, two of my friends, who were supporting #Pete, just informed me they will be voting for #BernieSanders in the VA primary!! #SuperTuesday",Bernie Sanders,FAVOR
"After last night's #DemDebate and listening to @BernieSanders speaking so much truth, this song came to my mind.",Bernie Sanders,FAVOR
Shouldn't you be at a country fair somewhere or opening up a Denny's? #whoareyouagain #BernieSanders,Bernie Sanders,AGAINST
"Today I voted for everyone to have access to healthcare, for students to not be crushed by student debt, for protecting the environment, for those that can't fight for themselves. I voted for Bernie Sanders. #BernieSanders",Bernie Sanders,FAVOR
we can win those 1st three states if we keep up the heat!!!! #FeeltheBern have you donated yet #Bernie,Bernie Sanders,FAVOR
"Medicare for all people now! Follow me if you agree! I follow back, of course. #MedicareForAll #M4All #Bernie",Bernie Sanders,FAVOR
"I have done my research. #MedicareForAll only works because everyone pays into one system. The healthy working people cover the sick, and the poor. It saves the American people over $2 trillion dollars, and provides better coverage than any private insurance. #BernieSanders",Bernie Sanders,FAVOR
Im college educated with a masters degree and whole-heartedly support #BernieSanders I think the most politically informed people follow @BernieSanders since there is a #Bernieblackout on msm Theyre do their own research to find he is fighting for,Bernie Sanders,FAVOR
"Er...are you saying that Warren has a better chance? The reality IS that, in order to effect political change, you have to apply political pressuresomething that Warren is not promoting. Thats why Im with #BernieSanders",Bernie Sanders,FAVOR
"#berniecrats are not sheeps, we never give up. Keep fighting! Call voters, canvass, VOTE, take friends, family &amp; even strangers who support #Bernie to cast their vote. Wait the hours in line if you have to. Bernie has been fighting for us all for over 40 years.",Bernie Sanders,NONE
"I do not think that he is 'owed' things beyond our respect and solidarity. I do, however, think that he is by far the best candidate on offer, with the most clarity on the most issues, and that he is a very decent person. #Bernie",Bernie Sanders,FAVOR
"Todays the day, yall! Resharing the voters guide for anyone who needs it. Polling places are open, mine was super empty - go vote!!! #BernieSanders",Bernie Sanders,FAVOR
Bernie rallies really are the most diverse political events Ive ever been to,Bernie Sanders,FAVOR
#Bernie Presidential biographer Ron Chernow says comedians are needed 'more than ever' at WHCD,Bernie Sanders,AGAINST
"45 and still #FeelingTheBern ... ...since his impassioned speech in 10/2002 on The House floor pleading with his bought, corporatist colleagues not to invade Iraq. #BernieSanders",Bernie Sanders,FAVOR
"but isn't a heavy believer in governmental regulation so what's a possibility with Yang's UBI? Salary decreases, rent raised, and benefits slashed because the people in charge are taking into account that you're opting into this program. #Bernie",Bernie Sanders,FAVOR
"You support @ewarren &amp; ironically her numbers went down after her cynical, divisive attacks against #BernieSanders . Yet hasnt been taking the bait &amp; I still see many of his supporters continue to hold out hope that she'll come around.",Bernie Sanders,FAVOR
"I really wish and think that ALL town halls & debates should be broadcast on public airwaves. This is for the presidency of this country, everybody deserves to hear what candidates have to say. Someone shouldn't be shut out because they can't afford cable. #BernieSanders",Bernie Sanders,FAVOR
"It would be good to have #Tulsi2020 on the debate stage. She calls out the MIC &amp; if you donated a dollar it would help to get her on the stage. The more progressive voices there, the better. #NotMeUs She stood with Bernie in 2016 &amp; the establishment hates her for it.",Bernie Sanders,FAVOR
The vitriol that was thrown at Bernie by the DNC establishment was ridiculous. Now theyre begging for our votes. #BernieUnsuspend,Bernie Sanders,FAVOR
"#TurnUpTheVolume for #BernieSanders Keep yelling, Bernie. For the people in the back who need to hear it even if they don't want to.",Bernie Sanders,FAVOR
"Why didn't you learn civics? It was a cloture vote, grow up already with your disengoius attacks, when ONLY one person is literally speaking to ALL Americans right now! #Bernie",Bernie Sanders,FAVOR
"1) Beto has been clear thats not happening. 2) Has it occurred to anyone hes not seasoned enough for that job yet? Anyone remember how Obama buckled to wall st and couldnt get us single payer even with democratic control of both houses? He wasnt ready, either. #BernieSanders",Bernie Sanders,FAVOR
"If prime motivation stems from electability OR policy, the best choice is clear either waythe best candidate (hands down) is Bernie MF-ing Sanders!!! #NoMiddleGround",Bernie Sanders,FAVOR
#BernieSanders easily won tonight debate. How could he not? The whole stage argued for or against HIS popular policies. This is why,Bernie Sanders,FAVOR
"Um..he's at war with the status quo establishment. You know, that organization you are part of. Combat is part of war. Are you trying to do a repeat of 2016? If so, you're doing a great job. #BernieSanders",Bernie Sanders,FAVOR
"A poll all the way back in 2009 found Americans, 57% to 37% would be willing to pay higher taxes for Single Payer. 73%-20% supporting Single Payer back then via an NY Times poll. #FridayFeeling #Bernie",Bernie Sanders,FAVOR
We all have a role in every election to nominate a worthy person and be the president of the United States. Bernie Sanders is worthy,Bernie Sanders,FAVOR
"In honor of this weekends upcoming events, I just sent my welcome back to California contribution to Bernie Sanders #Bernie @People4Bernie @DemSocialists @OurRevolution",Bernie Sanders,FAVOR
When you said we should have a 10 year roll out of #M4A I was thinking of families like the Kerris's. I was thinking of the estimated 45k people that die each year due to lack of insurance. You are right. We do need #MedicareForAll That's why I am voting for #Bernie,Bernie Sanders,FAVOR
"Keep pushing the #GreenNewDeal, Alexandria. Don't accept for one moment the ruling class claim it's unattainable. It's supported by 81% of voters. #BernieSanders",Bernie Sanders,FAVOR
Im so sorry for your loss and that your family was put in this impossible situation. Ill be making another donation to @BernieSanders in memory of your dad today. #Medicare4All,Bernie Sanders,FAVOR
#Bernie Revitalizing Rural America Plan Fundamental change in Americas agricultural and rural policies is no longer just an option; its an absolute necessity. #RevializingRuralAmerica #UrbanRuralUnity!,Bernie Sanders,FAVOR
"This is an unprecedented movement, and we're taking it all the way to the White House. I'm a proud mom of a soon to be college graduate, and couldn't be more proud of all #StudentsForBernie! #Bernie",Bernie Sanders,FAVOR
Congress has to stand up for the Constitution and tell this lawless president: We are not giving you a Pentagon bill that allows you to partner with the despotic Saudi regime in its horrific war in Yemen @BernieSanders #BigUs,Bernie Sanders,FAVOR
"Yes! Bernie Sanders has continuously been on the right side of history & has been running on the SAME platform of healthcare as a human right, reducing income inequality, and getting money out of politics before these became trendy talking points. #OrganizeWithBernie",Bernie Sanders,NONE
None of these #MEdicareForAll or #BernieSanders or #TaxTheRich #Tax proposals are worth anything if they don't get them passed. It's great and all maybe to have some left shift but It's not enough to propose them / draft a bill. We need real legislation passed. #ThursdayThoughts,Bernie Sanders,NONE
Make no mistake. Bernie and his supporters are more determined than ever. #BerniesBack,Bernie Sanders,FAVOR
"Need to share that I believe in us. I believe in our collective humanity, and undeniable passion for life. I believe we will overcome, persist and come out on the other side of human rights and climate catastrophes. Let's do this, together. #Bernie",Bernie Sanders,FAVOR
"Exactly, ACA didn't work for all but it was a nice try tho. Kinda like using a bandaid for a fracture. We can fight for better. We deserve better. Colin, duh we have just as much political as power you as you buddy. It's called voting. #BernieSanders",Bernie Sanders,FAVOR
After the #SandersTownHall CNN did their post analysis and flashed these numbers. WOW! #BernieSanders is not even a week old and look at those numbers! Also add in the goal met of 1 million volunteers in every Congressional district in the US. 324K are new and not part of 2016,Bernie Sanders,NONE
No reason for commercial breaks in the Debates. We are left with less than an hour and a half of actual debates. #DemocraticDebate2020 #Bernie,Bernie Sanders,NONE
"Its just a meme, but it does feel like a gift I am honored to give. I started knitting berets, mailed some to Bernies Vermont office, he sent a letter of thanks, and now finally, graphic artists and other crafters are joining me #NotMeUs Much love! We will elect",Bernie Sanders,FAVOR
"I didnt fall for it the first time, but I get your point. #Bernie",Bernie Sanders,FAVOR
**Trouble Is* More Communist in the US than in Russia #BernieSanders #Bernie,Bernie Sanders,AGAINST
"I hope next time #Bernie is confronted with the stupid talking point, that #CancelStudentDebt will help millionaires. Oh don't worry, the rich will pay a hell lot more under my leadership. That I can promise you!",Bernie Sanders,FAVOR
Lie: A false statement deliberately presented as being true; a falsehood. #mnleg #mpls #rochmn #blacktwitter #nfl #nba #blacktwitter #Bernie,Bernie Sanders,AGAINST
my mom voted for the first time in over 20 YEARS for BERNIE SANDERS!!!!! despite not feeling well!!,Bernie Sanders,FAVOR
"#Bernie Sanders says he's 'one of the poorer members of the #UnitedStatesSenate' #BetOil is A Multimillionaire,#Warren has A 5 Million dollar Home,#Hillary HAS several Mansions plus A Super Millionaire! Whats Your Point?",Bernie Sanders,AGAINST
Actually I have a better way to answer trolls! Donate another $1 to Bernie Sanders' campaign & thank them for supporting our fundraising efforts! #BernieMoneyBomb #DemDebate,Bernie Sanders,FAVOR
"I believe what this country needs right now isn't a politician, but a true statesman who can inspire Americans to be better and demand better, and I believe Bernie Sanders can be the spark to start the fire that lights the way out of where we are now.",Bernie Sanders,FAVOR
"Does anybody have the clip of when @BernieSanders got bboed at the #DemDebate and he was like, really? #BernieSanders",Bernie Sanders,FAVOR
I'm so sick of this shit. He's been consistent for decades. He doesn't need to break through he's literally been preaching what progressives want for ages. He's not trying to make a name for himself because his record does that for him. #DemDebate #FRUSTRATION #Bernie,Bernie Sanders,FAVOR
So how #dumbfuckery and straight-up dishonesty form centrists. This shit is getting OLD. #NoMiddleGround #Bernie,Bernie Sanders,FAVOR
This is a DEMOCRAT? This is the resistance? Absolutely disgusting! #Bernie,Bernie Sanders,AGAINST
You're not the only one. I'm retired and with a pension & SS. I OWE every year. #BernieSanders,Bernie Sanders,FAVOR
If they can suspend student loan interest they can cancel loans too #BernieSanders,Bernie Sanders,FAVOR
"Equality for white land owning men, yes. The disenfranchised of this country, slaves, laborers, lbgtq (plus more) had to fight tooth and nail for rights. AND ARE STILL FIGHTING TODAY. Change comes from the bottom on up. THat is why I am with @BernieSanders",Bernie Sanders,FAVOR
I'd love to see a poll of public opinions of parties. I don't think this is going to change minds about #Bernie .,Bernie Sanders,NONE
Real life scoundrel company that holds sick folks for ransom. #MedicareForAll #Bernie,Bernie Sanders,AGAINST
"It's really this simple. #NotMeUs #BernieSanders because #EnoughIsEnough of the bullsh*t we've been getting. It's time we elect a responsive, representative government rather than a repressive government that's holding our country and countrymen back from the changes we must make.",Bernie Sanders,FAVOR
"Bernie Sanders, Gun Nut He supported the most reprehensible pro-gun legislation (#PLCAA) in recent memory. - By Mark Joseph Stern - May 06, 2015 Please retweet! #Election2020 #DemPrimary #VettingBernie #Bernie #GunSense #GunNut",Bernie Sanders,AGAINST
The old adage If you can't beat 'em join 'em. is not what we are about. One way or another the Democratic Party is heading for a reckoning. #Independent #BernieSanders,Bernie Sanders,NONE
Mayor Pete #Buttigieg could be talking about why the Vietnam war was started and why there was such a massive outcry from the public causing LBJ not to run again. It's easier to talk about bone spurs I guess. #BernieSanders,Bernie Sanders,NONE
"Haim Saban (IAC Oligarch Hillary funder) loves every Democratic candidate.. except #BernieSanders, who he thinks is turning Dems against AIPAC #IsraelGate #ChabadGate #ArrestIAC #ArrestZOA #ArrestAIPAC #ArrestCUFI #ArrestCFR #ArrestPNAC",Bernie Sanders,AGAINST
Shaun my polling place was moved down the street ok for me I have a car but what about people who dont? There was plenty of hand sanitizer there fortunately #Bernie,Bernie Sanders,FAVOR
The JRE podcast with @BernieSanders is now at 4 million views on YouTube and still trending at #1. And were just getting started!,Bernie Sanders,FAVOR
"I trust #BernieSanders! #Bernie has lots of plans, but most importantly, #BerniesGreenNewDeal is the ONLY plan that addresses what SCIENTISTS say we need to to avoid the worst of the #ClimateBreakdown. It gives me hope.",Bernie Sanders,FAVOR
"@washingtonpost on Mexican presidential election results: Lpez Obrador triumphed with a party that didnt exist at the time of the last election, against opponents from two parties that have ruled Mexico for nearly a century. Give you any ideas, @SenSanders?",Bernie Sanders,FAVOR
"I am a life long Republican, 42 years of age. Pull the blinders off. We have been lied to. #BernieSanders",Bernie Sanders,FAVOR
"Republicans: Bernie is a DiRtY sOcIaLiSt. Covid-19: Hide yo' kids, hide yo' grandparents, yo' immunocompromised because we infecting everybody out here. Republicans: #M4A",Bernie Sanders,FAVOR
Bernie Sanders is still sharp as a tack. And he's waking people up all over the country. People half his age couldn't do what he does. I make an exception with Bernie.,Bernie Sanders,FAVOR
Let's respond to #BernieSanders with #NeverKamala and #NeverKamalaHarris and get that trending. cuz that's the candidate I actually won't vote for.,Bernie Sanders,FAVOR
#ThankYou @SenSanders you are just a great fundraising tool for establishment democrats. While I applaud your ability to make progressive issues more mainstream to the political party I must side with my values #Tulsi2020 over #Bernie @HouseDemocrats,Bernie Sanders,NONE
@J_ManPrime21 I'm a fan now!! If I buy your Jersey will you sign it? #Bernie,Bernie Sanders,FAVOR
"Lets get some more volunteer operations here in ATL, GA as well! And, in general, keep at it, yall its a damned generational gift to be working alongside this powerful progressive movement. #BernieSanders",Bernie Sanders,FAVOR
"Nice erasing the heritage of a man who lost family members during the Holocaust. You can vote for whomever you like, of course, but my students need his policies, not some watered down version to be dropped as soon as the primaries are over. #Bernie",Bernie Sanders,NONE
"I'd like to add that Canada has had #UniversalhealthCare since 1966 &amp; it is not a socialist country. Just google yorkdale mall in Ont. Every brand name you can think of and more. It's been 54 years, time for America to catch up. #MedicareForAll #Bernie",Bernie Sanders,NONE
"""Only Bernie can transform our country in the way we need."" Senator Mike Gravel",Bernie Sanders,FAVOR
"Noam Chomsky says Bernie can be president, reinforcing what we have known since 2016. #MedicareForAll FeelTheBern",Bernie Sanders,NONE
"Are you Rrready to Rrrumble?!?! Forgive me. I'm just a ""little"" excited. #Bernie",Bernie Sanders,FAVOR
"Paul Ryan espouses Ayn Rand, yet retired on a full government pension at 48. #Hypocrite #hypocrisy #BernieSanders #OurRevolution #VoteThemOut #midterms2018 @SenSanders @IronStache",Bernie Sanders,NONE
"This is what caring leadership looks like. This is how a candidate *earns* my vote! For all those still vainly trying to push the ridiculous vote blue no matter who bullshit, this man is what we can have if we start demanding better. I don't owe the DNC shit. #Bernie",Bernie Sanders,FAVOR
Halsey Endorses Bernie Sanders: Bernie Has Been Fighting For Me Before I Was Even Born,Bernie Sanders,FAVOR
"So optics aside, you have any substantive policy reasons to dislike Bernie? Because if youre beef is a 11 second clip & not policy then you are just noise in an already over crowded conversation. Move along.",Bernie Sanders,FAVOR
"Whats funny is that Silver is totally ignorant about how important the actual campaigns are. #Bernie has over a million volunteers and his donations dwarf everybody elses. Nobody else has anywhere near his political machine, &amp; that gives #BernieSanders an enormous advantage.",Bernie Sanders,FAVOR
"between an idiotic ignorant sexual assaulter & a warhawk in the pocket of wall street and the military industrial complex, either was going to lead us to more perpetual wars, needless interventions, supporting human rights violators like Saudi Arabia. We need better #BernieSanders",Bernie Sanders,FAVOR
VOTE & RT: Daily Kos Democratic Straw Poll: end of May edition #Bernie,Bernie Sanders,FAVOR
"Well, now would be a GREAT time to get behind the only candidate that is for M4A and eliminating medical debt. SHOW us you're a REAL progressive, not just an opportunist. #BernieSanders #BernieIsRight #Bernie",Bernie Sanders,FAVOR
Runup to 2020: What does #USA' Sanders know about #Turkey? @SenSanders @BernieSanders #BernieSanders Yet another #clown in disguise. The world has not yet woken up to the fact that the USA is completely obliged to her Zionist paymasters!,Bernie Sanders,NONE
Sanders is the only candidate who understands how important unions are to the existence of a middle class. Anyone who works for a living should join the movement. We're going to rebuild this country.,Bernie Sanders,FAVOR
Quit flying in jets sell your homes and move into one of the new tiny house's For starts your kind built this poison world of shit I was born into and it was ok with United states goverment taxed and tariff #BernieTownHall #Bernie Do it do it !,Bernie Sanders,NONE
Pres. candidates in my city and lots of folx are jazzed Ofc saw some MAGA dorks with redbaiting anti-Communism signs #BernieSanders #DrinkCentristTears #CharlestonSC #DemDebate #DemDebate2020,Bernie Sanders,NONE
"But the #BernieSanders campaign's low point came at that NH town hall when a young woman from a working poor family asked Bernie about his 180 on immigration and, sounding like the Koch brothers, he said we need undocumented immigrants so the price of food doesn't skyrocket!!",Bernie Sanders,AGAINST
#Bernie W T F ???????????? DNC Forces Vote Against CDC Guidelines On COVID-19 via @YouTube,Bernie Sanders,FAVOR
Anything short of Medicare for All is a ploy to set up Medicare to fail. #MedicareForAll #NoMiddleGround #BernieSanders,Bernie Sanders,FAVOR
#LetTulsiSpeak #LetTulsiDebate DNC doesnt want an anti regime change/forever war voice up on the stage. Shes qualified in polls and funding. This is retaliation for her leaving DNC in 2016 to back #Bernie &amp; for crushing Kamala in the last debate,Bernie Sanders,FAVOR
