Tweet,Target,Stance
"Joe Biden is looking to gather votes from unsuspecting voters. One must remember, Good Ole Boy Joe supported a Grand Wizard of the KKK. Joe cannot deny it.",Joe Biden,AGAINST
Check out the latest podcast conversation between @JoeBiden and @AndrewYang. #HeresTheDeal #UnitedForJoe #BarnstormersForAmerica #ITrustJoe,Joe Biden,FAVOR
Thank you Secretary Clinton for your endorsement. You have been an inspiration to us all for your work advocating for womens rights and for breaking the glass ceiling through your presidential run. Were excited to have you on team Joe. @hillaryclinton,Joe Biden,FAVOR
Happening now: @JoeBiden kicking off #HispanicHeritageMonth in Little Havana at the iconic Ball and Chain. Packed house.,Joe Biden,FAVOR
Thank you Mayor @KeishaBottoms for opening our Waterloo office today! #JoeBiden,Joe Biden,FAVOR
.@joejonas you were are such an amazing coach. We hope you return next season &amp; take Kellys crown. Thanks doing the voice &amp; bringing us together every week. These past 6 months have been unbelievable. #PeopleToPeople is such a killer EP too mate #JoeBiden all day everyday,Joe Biden,NONE
Tune in tonight to gain hope from the next President of the United States. #Biden,Joe Biden,FAVOR
I wish I had better photo stock this is fun! #Biden,Joe Biden,FAVOR
What better way to kick off MDW than a fundraiser for @JoeBiden with @PeteButtigieg ?! Donate whatever you can to join #TeamPete,Joe Biden,FAVOR
I don't know about these polls... 100% of the Democrats I know are so enthusiastic about the 2020 general election that they will crawl over broken glass to vote out the criminal in the WH. And they/we are all in for @JoeBiden !!,Joe Biden,FAVOR
Excited to see @pressupward on this weeks Biden Brunch! I was lucky to have him in Nevada and lucky now to continue working with this rising !,Joe Biden,FAVOR
SHAME on Kamala Harris!!! She should not attack on former VP Joe Biden during the #DemDebate2! I was so embarrassed to see Kamalas disgraceful bigotry! She is so bitch!,Joe Biden,FAVOR
"Hes been a lifelong, civil servant working for We the people #CountryOverParty #Biden",Joe Biden,FAVOR
I am feeling so good about todays news on #Biden hiring Ms. Jean-Pierre! Not going to count my chickens before they hatch but Ya think?,Joe Biden,FAVOR
