Tweet,Target,Stance
You COWARD... you should have been at THE WHITE HOUSE CORRESPONDENCE DINNER Honoring the FIRST AMENDMENT! #FirstAmendment #Trump,Donald Trump,AGAINST
"Cool. I trust he requested the same records for don jr, ivanka, Eric and jarrod? #Trump",Donald Trump,AGAINST
Off your meds again Donnie? You are surrounded by criminals of all sorts! We love California and our gov so F off! #ThugPresident #Kleptocracy #MuellerIsComing #Trump,Donald Trump,AGAINST
That has to happen anyway. But his profits will be forfeit when he's convicted of treason with the rest of the #Trump,Donald Trump,AGAINST
This is so stupid. Unmasking lets them know who it is. If trumps kids were unmasked they were talking to people under investigation who they shouldn't have been talking to. The wow is the trump family was working with the Russians. #Trump Now trump is killing Americans,Donald Trump,AGAINST
"Its importantto remember that the #GOP has tolerated, enabled, &amp; even supported all that @realDonaldTrump has done to destroy our alliances, our democratic institutions, and the rule of law. #PutinOwnsTrump",Donald Trump,AGAINST
"Really good take. ""Of course Ivanka isnt coming to save you. She couldnt even save herself."" #IvankaTrump #Trump",Donald Trump,AGAINST
"Its true, what other first lady have you heard called a ""gorilla,"" and ""ape"" or just plain ""ugly?"" Poor Melania. I cannot imagine being her. #bullshit #cheetojesus #Trump",Donald Trump,AGAINST
"His entire life, his dads, his kids, all of it - is one giant web of crimes. #SDNY #Trump Oval Office -&gt;Prison Expressway!",Donald Trump,AGAINST
Seems to me that Cohen should be protected so he may sing to help Americans take back our United States of America! #LockThemUp #Resign #TrumpKnew #Trump,Donald Trump,AGAINST
"Whatever. Meanwhile, Cohen is getting the attention you seek. I think the Trump family will be getting an invitation to see some Democrats.",Donald Trump,AGAINST
Limited further commentary required. Simply #Trump Grifters gonna grift: Twitter celebrates as the Trump family is forced to deal with a pyramid scheme lawsuit -,Donald Trump,AGAINST
@TheDemocrats New Majority is going to be so satisfying to watch. Heres just a taste of what to expect. Accountability is coming. #Trump,Donald Trump,AGAINST
"Yo be fair, if my life was so pathetic as to be involved with #Trump - Id Kill Myself Too!",Donald Trump,AGAINST
#Trump is literally pushing the U.S. into a dark corner out of world influence. We are becoming 3rd world nation. Healthcare only for the rich Economies only for the rich Government only for the rich And poor (literally no wealth) Republicans cheer him on.,Donald Trump,AGAINST
"Now that 'Trump Foundation' has been forced to cease and desist, Trump perhaps has found another way to build the #Trump slush fund.",Donald Trump,AGAINST
"Again #LiarInChief you lie. @gtconway3d said NO to you &amp; your job. Also did you know that you are often referred as #presidentpredator &amp; #Trump &amp; #trumpetaPendejo &amp; that we all know you are envious of President Obama because of his success, class &amp; intelligence?",Donald Trump,AGAINST
I challenge you Mueller has enough evidence to send @realDonaldTrump to jail #LockHimUp #LockThemAllUp,Donald Trump,AGAINST
"Evil, #corrupttrump #Trumps words and tweets do NOT age well like him! Too bad you just cant call the Plastic Surgeon to cover them up with Botox like the whole #Trump does! #ICantBreath",Donald Trump,AGAINST
"Youre right. However, spreading false information helped sway uneducated voters. The only way #Trump can win, is by cheating.",Donald Trump,AGAINST
"No president under criminal investigation should be allowed anywhere near a Supreme Court pick. You and #CrookedMcConnell stole the last one from the last real president, #PresidentObama, so go get fitted for your orange jumpsuit, #CrookedTrump. #LockHimUp #Trump",Donald Trump,AGAINST
"What is this? Take your pampered, overindulged, privileged child to work day? #Trump",Donald Trump,AGAINST
#Trump and the #GOP know very well that their #MAGA cult following will believe every lie that comes out of their mouths! Its a tactic straight out is the playbook of one of the idols!,Donald Trump,AGAINST
Brett Kavanaugh won't pass his lie detector test and subsequently will be prosecuted for perjury. You picked a real peach there. His only qualification is that he would let the #Trump off the hook. #StopKavanaugh,Donald Trump,AGAINST
Thank you Rep. Lieu for speaking truth to illegitimate power! #TrumpIncitingViolence #Trump,Donald Trump,AGAINST
Something tells me this isn't another test run before pardoning the #Trump associates,Donald Trump,AGAINST
"@EricTrump Keep lying for daddy, the crime family, republiCUTNS and fox news. #erictrumplies #ericsucks",Donald Trump,AGAINST
There's two impeachment articles to be drafted... 1. Do Nothing Trump #TrumpPlague 2. Dictator Trump #Trump And Democrats will submit both if Trump wins #Election2020,Donald Trump,AGAINST
Now would be a great time to delete your idiotic account. #StupidWatergate #GreaseballJR #Trump,Donald Trump,AGAINST
Release the Mueller report without redactions if you have nothing to hide. #traitor #LockThemAllUp #Trump,Donald Trump,AGAINST
Oh so you think you are going to get people to believe that YOUR WORDS arent YOUR WORDS? Wow. Your base is stupid enough to believe you but the rest of us see your desperation. #Trump,Donald Trump,AGAINST
One of the new lows in the Trump Train Wreck. The White House should be embarrassed and ashamed. #IMPOTUS #GOPCoverup #GOPSenators,Donald Trump,AGAINST
"My 1 wish from this #COVID19 pandemic is that it makes rich people, poor people, starting with the #Trump",Donald Trump,AGAINST
Why cant Carsons medical licensed be revoked (even prosecuted) for violating do no harm? #Basic decent #housing is a healthcare issue. #Trump,Donald Trump,AGAINST
Your family steals charity money from kids with cancer. You would just steal the money because you're a thieving grifter. Just ask the NY AG. #Trump,Donald Trump,AGAINST
I miss Bush as President....Never thought I would be saying that! Trump makes me literally throw up! @realDonaldTrump #TrumpTowerTreason,Donald Trump,AGAINST
@realDonaldTrump didn't win shit. He is a paid man (read stooge) for the real man in the room. Daddy Putin.,Donald Trump,AGAINST
"Because it IS just his latest distraction! I think you mean well, but you should KNOW its truly something HE CAN NEVER DO! Nobody can possibly change our Constitution with an executive order! Its impossible it cant be done! Its a distraction! #TRE45ON #Trump",Donald Trump,AGAINST
@davidfrum arent the cases about seeing the taxes of the Trump *organization* a legally distinct entity that is also now in a blind trust his lawyers claim so double separation? #Trump @gtconway3d @PreetBharara,Donald Trump,AGAINST
Every single judicial seat filled by Trump and McConnell must be removed along with Trump. #CorruptJudiciary #CabinetOfHorrors,Donald Trump,AGAINST
I was 100% confident that the #Trump would go down in flames during the 2016 election. VOTE the buggers out.,Donald Trump,AGAINST
"Uhm, neither he nor anyone else in the #Trump get to decide that, including his POS orange father-in-law. Why the hell was that stupid question even ASKED?!?",Donald Trump,AGAINST
. From #Trump member @IvankaTrump theres no doubt she got her amoral attributes from #Individual1 @realDonaldTrump Esp since shes being investigated for the inauguration investigation FYI @Davos,Donald Trump,AGAINST
Wisconsin tax payers are now on the hook for $4 billion to pay for Foxconn to pollute 7 million gallons of Lake Michigan water a day. More corporate welfare. #Wisconsin #Foxconn #Trump,Donald Trump,AGAINST
Did you tell him the truth that you're really just a puppet? #PutinsPuppet #Trump,Donald Trump,AGAINST
"I dream of this day! Its your day, @realDonaldTrump , your day of long overdue reckoning.",Donald Trump,AGAINST
Thanks for letting me know I will be watching him #coronavirus #trumpcovidfails #Trump,Donald Trump,AGAINST
"Go get him Dems. We unlike republicans care about our country and prefer a legit President, one that is not a crook, and one that doesnt lie to the American people everytime he opens his mouth. He needs to be held accountable for almost destroying our country. #Trump",Donald Trump,AGAINST
"You sound really panicky today. Is everything alright? Did you not sleep well? Are you constipated? Or, is the fact that @DonaldJTrumpJr is about to be arrested got you cranky? Go back to bed and let the adults get to work. #NoWallNoWay",Donald Trump,AGAINST
How are the Stocks owned by the #Trump doing Dementia Don or did you sell most of them before you stopped lying about a hoax!?I #TrumpIsCorrupt,Donald Trump,AGAINST
"I'm thankful for, Nancy Pelosi, Adam Schiff, Jerry Nadler and all the Democratic representatives doing their job. Upholding and defending our Constitution and the rule of law. #LeningradLindsey #MoscowMitch #NunesNonsense #GymJordan #Trump",Donald Trump,AGAINST
"@harrylitman advice to @realDonaldTrump LAWYER UP! Because when the @TheDemocrats take the House, we WILL investigate YOU! No doubt about it! #Trump @MSNBC",Donald Trump,AGAINST
Ur part of the #Trump U should just stay home CAREFUL u might end up in jail like the rest of #CrookedTrump's former co-workers! @nytimes,Donald Trump,AGAINST
Shame on @realDonaldTrump who wouldnt want to share the spotlight with anyone. Disgraceful man worst POTUS ever! #TrumpIsAFelon #TrumpIsARacistRat,Donald Trump,AGAINST
Theres indictments waiting the day you leave office you POS @realDonaldTrump @POTUS #TrumpFail,Donald Trump,AGAINST
I despise @realDonaldTrump so much as well as his #Trump all of whom should be imprisoned! They have rendered such profound HARM to our nation between leveling our economy into major depression; facilitating pandemic w resultant Americans deaths in thousands-this is-,Donald Trump,AGAINST
"So am I! It's coming, we'll have a REAL President in 2020 and not that joke and embarrassment that we have now @realDonaldTrump #Trump Is going to be gone! America is totally fed up!",Donald Trump,AGAINST
"I dont think you were ever compared to an Ape. You have been called a Racist, bigot, liar, cheater, and a sexual predator, all deservedly. Did I mention liar? Thats a big one. #TrumpCheatsOnWives #TrumpGrabsPu$$y #Trump",Donald Trump,AGAINST
Actually your wrong it not to silence a woman at all! Its about wanting someone who has integrity ethical & moral values address the graduating class! Ivanka has is a known pathological liar who has nothing to offer the graduates #Trump,Donald Trump,AGAINST
"Junior? They have you on meds right? Look at daddy, you are on the path buddy. Get those voices in your head under control! #Trump",Donald Trump,AGAINST
Killers. Why? Why do they hate the natural world????? Serious. #ThereIsNoPlanetB #Trump,Donald Trump,AGAINST
Could you imagine the @GOP outrage if Obama made a call to a foreign leader asking them to look into the son of a #Republican. #Ukraine #Trump,Donald Trump,AGAINST
Way to go France! We have a banana republic headed by a murderous cartel #winning #Trump,Donald Trump,AGAINST
POTUS cannot pardon to obstruct justice in his Investigation. POTUS cannot pardon to obstruct justice in his Investigation. POTUS cannot pardon to obstruct justice in his Investigation. POTUS cannot pardon to obstruct justice in his Investigation. #Trump,Donald Trump,AGAINST
Michael Cohen was Deputy Finance Chair for the RNC. Great judgement guys. #ImpeachTheMF #Trump,Donald Trump,AGAINST
"Take my kids, for example. At least, I'm TOLD they're my kids. No proof. Don Jr, Ivanka and Eric were all born to an immigrant woman who WASN'T a US Citizen when they were born. They shouldn't have US Citizenship. DEPORT THEM ALL! #TrumpParasites #Trump",Donald Trump,AGAINST
He loves dictators who kill journalists. Why the hell was Ivanka there. She was elected by no one. #Nepotism #ivankaIsClueless #JamalKhashoggi #Trump,Donald Trump,AGAINST
These administrative criminals will be proclivities. It will all get out so why hide it? Maybe dear leader is getting his slush fund after all. #GrifterInChief #CorruptAndComplicitGOP #Trump,Donald Trump,AGAINST
I'm resigning effective immediately and taking my entire cabinet with me. #Trump,Donald Trump,AGAINST
It must never be forgotten that this grotesque unqualified family of grifters is brought to the world by the #GOP. #Conservatives in every major democracy are installing incompetent goons to dismantle all that is civil in a society. #Trump,Donald Trump,AGAINST
Vice President Mike Pence's Wife Karen Dragged for 'Inappropriate' Dress #SmartNews Id Rather Drag Karen for Her Inappropriate Husband... #VoteBlue2018 #Trump,Donald Trump,AGAINST
"Out of all the democrats running for president so far in 2020, Hillary Clinton is way more poised, qualified & experienced than all of them combined #2020. #Election2020 #GOPComplicitTraitors #Trump",Donald Trump,AGAINST
Hey Junior-what have you done for your country lately? Yeah I didnt think so - please stop posting about other ppl until youve EARNED some credibility of your own #Trump,Donald Trump,AGAINST
Have you paid back the American people for your hunt yet? #Trump,Donald Trump,AGAINST
Wheres the rest of the Bible thumping @GOP? Wheres #BunkerBoy and the #Trump ? Where are the photo op government officials? I dont see Christian AGBarr.,Donald Trump,AGAINST
And if the whistleblower is @KellyannePolls ? Should she be afraid? This potus has already incited violence that has killed people. This is what a Mob boss does. #Trump,Donald Trump,AGAINST
@realDonaldTrump I find it interesting that you claim your approval numbers are so high yet you're hiding in the bunker and felt the need to build a wall around yourself? Scared much? #TrumpBunkerSongs,Donald Trump,AGAINST
"... And the craziest part is Trump re-cast the Civil War that ended slavery as despicable, while at the same time Trump called for his supporters to start a civil war. #25thAmendmentNow",Donald Trump,FAVOR
Hopefully dirty Don spreads Coronavirus all through WH and Mar-A-Lago!! #Trump666 #Trump,Donald Trump,AGAINST
"The @NYTimes reports on the new lawsuit accusing Trump and three of his children (Don Jr., Eric, and Ivanka) of persuading people to invest in scams. #TrumpFoundation",Donald Trump,AGAINST
Nepotism and Corruption continue with Ivanka and Jared. Is daddy going to have #IvankaCoffinBarbie be in charge of all the funeral homes and demand that they only sell her coffins? #TrumpCoronaDisaster #Trump,Donald Trump,AGAINST
There is no empathy in the shallow end of the gene pool. #Trump,Donald Trump,AGAINST
"President Putin called to remind me he has me by the cajones & if I want to keep lining the personal coffers of the #Trump I better keep doing exactly what he tells me to do. There, fixed it!",Donald Trump,AGAINST
"So sickening that we have no one to check the lawlessness of the current administration. Praying voters make a difference and, in the end, prison for the entire #Trump and friends. @SpeakerPelosi hope your plan is flawless. Its being questioned every min. #Inthedark",Donald Trump,AGAINST
Lineup what youre claiming Comey did next to what the Man baby in the White House actually has committed in his criminal and corrupt policies and actions. Not even near. #RealDonaldTrump #Trump,Donald Trump,AGAINST
"No, honey. YOU are the delusional one. #Drumpf has done nothing but try to dismantle the democratic ideals for which America has always stood. But, we see you, Maureen, and we know why you REALLY like the #FakePresident45. #Trump",Donald Trump,AGAINST
"Throughout the conversation with Barr, Muellers main worry was that the public was not getting an accurate understanding of the obstruction investigation, officials said. #TraitorBarr #BarrLeadingCoverUp #ImpeachBarr #Trump",Donald Trump,AGAINST
Maggie - give it up. A joke about eye shadow is kid's play compared to some of the hideous crap SHS spews from behind her podium on a daily basis. She certainly deserves much worse than she got tonight. #Trump,Donald Trump,AGAINST
"Don Trump Jr. should spend five years in prison for this offense, and the maximum time for other offenses that will become known soon. #GOPCorruption #Trump RT",Donald Trump,AGAINST
"@realDonaldTrump would you like to be on the next promotion campaign? You looks so pretty ... with your friend! But for #America it would be cool, to kick you out with your brainless stuff! #Impeach45 #CrimesAgainstHumanity #Trump #RussianHacking #Resisters #MAGA gaga",Donald Trump,FAVOR
"Says the guy whose foundation got shut down for fraud, whose university got shut down for fraud, and whos being investigated by the SDNY, for bank fraud. #DeutscheBank #TrumpCorruption #LockThemAllUp #Trump",Donald Trump,AGAINST
Exactly how many tens of millions have you and fake diplomat Jared raked in since corrupt daddy took office? And let's talk about your sweat shops while we're talking about a whole new world. This trump family is just plain evil.,Donald Trump,AGAINST
If @IvankaTrump and #JaredKushner were treated like everyone else they wouldn't have the positions they hold in the #WhiteHouse #nepotism,Donald Trump,AGAINST
& @seanhannity is a Journalist! lol Maybe you should SUE the Adults that were polled @JennaEllisEsq or better yet have them talk to Rudy @RudyGiuliani #ObamaWasBetterAtEverything #ObamaDayJune14th #Trump,Donald Trump,AGAINST
You have the best ideas Eric. Please be sure and keep us updated and feel free to upload pictures of anything you think will help you prove #Trump 's innocence...#TrumpTaxReturns #TrumpEpstein photos etc. We will keep them ssfe for you ok sweetie.,Donald Trump,AGAINST
Maybe someday youll catch up to the better numbers under Obama. Nice try! Although youll probably all be in jail before then. #Trump,Donald Trump,AGAINST
"@realDonaldTrump You are a racist, sweetie. GTFO of OUR White House. #TraitorInChief #Treason",Donald Trump,AGAINST
in other words ........... We will protect the TRAITORS ....... at all cost !!! #fakepresident #putinspuppet #ReleaseTheFullMuellerReport #IStandWithSchiff #LockThemAllUp #Trump,Donald Trump,AGAINST
"Drumpf doesn't even truly represent Republicans, altho they're too corrupt to admit this. He represents no one other than his own #Trump &amp; #TrumpCrimeSyndicate!",Donald Trump,AGAINST
OMG...you could not write a more dramatic soap opera than what we're living thru right now #PLEASEMAKEITSTOP #IMPEACH45 #REMOVETHEDOTARDNOW #Trump Good talk... =^..^=,Donald Trump,AGAINST
"I nominate this landmark to replace ""The Strat"". The new #Trump #RICO Home.",Donald Trump,AGAINST
"That's ok Pam. We know hes a liar, thief, bully, etc etc. BUT we stand with you! Stronger together right And we don't watch Fox(trump)news either #TrumpFamily",Donald Trump,AGAINST
"#MyVisionForTheFutureIs A real #Flotus and #Potus that truly love America living in the WH with no grown ""offspring"" hanging out! #ImpeachTheTrumps #Trump",Donald Trump,AGAINST
"I don't use it day to day, but she's working in the WH , no experience, just got Chinese business kickbacks due to her proximity. It's apt as fuck. #IvankaTheComplicit #Trump",Donald Trump,AGAINST
We would read the transcript if only you released it #Trump,Donald Trump,AGAINST
