topic,explanation
affirmative actions,"The term affirmative action refers to a policy aimed at increasing workplace or educational opportunities for underrepresented parts of society. These programs are commonly implemented by businesses and governments by taking individuals' race, sex, religion, or national origin into account.

Affirmative action focuses on demographics with historically low representation in leadership, professional, and academic roles and is often considered a means of countering discrimination against particular groups."
affirmative action,"The term affirmative action refers to a policy aimed at increasing workplace or educational opportunities for underrepresented parts of society. These programs are commonly implemented by businesses and governments by taking individuals' race, sex, religion, or national origin into account.

Affirmative action focuses on demographics with historically low representation in leadership, professional, and academic roles and is often considered a means of countering discrimination against particular groups."
tfa,"Teach For America (TFA) is a nonprofit organization whose stated mission is to ""enlist, develop, and mobilize as many as possible of our nation's most promising future leaders to grow and strengthen the movement for educational equity and excellence"".[2]

The organization aims to accomplish this by recruiting and selecting college graduates from top universities around the United States to serve as teachers. The selected members, known as ""corps members,"" commit to teaching for at least two years in a public or public charter K–12 school in one of the 52 low-income communities that the organization serves."
trained teachers,"Trained Teacher means a teacher who has satisfactorily completed a prescribed course of training at a higher education institution, or such other course or courses which the Director-General determines as satisfying requirements for classification as a teacher."
capitalism,"Capitalism is an economic system based on the private ownership of the means of production and their operation for profit.[1][2][3][4] Central characteristics of capitalism include capital accumulation, competitive markets, a price system, private property and the recognition of property rights, voluntary exchange and wage labor.[5][6] In a capitalist market economy, decision-making and investments are determined by owners of wealth, property, ability to manouver capital or production ability in capital and financial markets—whereas prices and the distribution of goods and services are mainly determined by competition in goods and services markets.[7]

Economists, historians, political economists and sociologists have adopted different perspectives in their analyses of capitalism and have recognized various forms of it in practice. These include laissez-faire or free-market capitalism, state capitalism and welfare capitalism. Different forms of capitalism feature varying degrees of free markets, public ownership,[8] obstacles to free competition and state-sanctioned social policies. The degree of competition in markets and the role of intervention and regulation as well as the scope of state ownership vary across different models of capitalism.[9][10] The extent to which different markets are free and the rules defining private property are matters of politics and policy. Most of the existing capitalist economies are mixed economies that combine elements of free markets with state intervention and in some cases economic planning.[11]

Market economies have existed under many forms of government and in many different times, places and cultures. Modern capitalist societies developed in Western Europe in a process that led to the Industrial Revolution. Capitalist systems with varying degrees of direct government intervention have since become dominant in the Western world and continue to spread. Economic growth is a characteristic tendency of capitalist economies.[12]"
opidates,"Opiates are the natural or synthetic drugs that have a morphine-like pharmacological action. Medically, opiates are used primarily for relief of pain. Opiates include morphine and drugs structurally similar to morphine (eg, codeine, hydrocodone, hydromorphone, oxycodone)."
hedonism,"Hedonism refers to a family of theories, all of which have in common that pleasure plays a central role in them. Psychological or motivational hedonism claims that human behavior is determined by desires to increase pleasure and to decrease pain.[1][2] Normative or ethical hedonism, on the other hand, is not about how we actually act but how we ought to act: we should pursue pleasure and avoid pain.[2] Axiological hedonism, which is sometimes treated as a part of ethical hedonism, is the thesis that only pleasure has intrinsic value.[1][3][4] Applied to well-being or what is good for someone, it is the thesis that pleasure and suffering are the only components of well-being.[5] These technical definitions of hedonism within philosophy, which are usually seen as respectable schools of thought, have to be distinguished from how the term is used in everyday language, sometimes referred to as ""folk hedonism"". In this sense, it has a negative connotation, linked to the egoistic pursuit of short-term gratification by indulging in sensory pleasures without regard for the consequences.[2][6]"
mother teresa,"Mother Mary Teresa Bojaxhiu[6] (born Anjezë Gonxhe Bojaxhiu, Albanian: [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu]; 26 August 1910 – 5 September 1997), honoured in the Catholic Church as Saint Teresa of Calcutta,[7] was an Albanian-Indian[4] Roman Catholic nun and missionary.[8] She was born in Skopje (now the capital of North Macedonia), then part of the Kosovo Vilayet of the Ottoman Empire. After living in Skopje for eighteen years, she moved to Ireland and then to India, where she lived for most of her life.

In 1950, Teresa founded the Missionaries of Charity, a Roman Catholic religious congregation that had over 4,500 nuns and was active in 133 countries in 2012. The congregation manages homes for people who are dying of HIV/AIDS, leprosy and tuberculosis. It also runs soup kitchens, dispensaries, mobile clinics, children's and family counselling programmes, as well as orphanages and schools. Members take vows of chastity, poverty, and obedience, and also profess a fourth vow – to give ""wholehearted free service to the poorest of the poor.""[9]

Teresa received a number of honours, including the 1962 Ramon Magsaysay Peace Prize and the 1979 Nobel Peace Prize. She was canonised on 4 September 2016, and the anniversary of her death (5 September) is her feast day. A controversial figure during her life and after her death, Teresa was admired by many for her charitable work. She was praised and criticized on various counts, such as for her views on abortion and contraception, and was criticized for poor conditions in her houses for the dying. Her authorized biography was written by Navin Chawla and published in 1992, and she has been the subject of films and other books. On 6 September 2017, Teresa and St. Francis Xavier were named co-patrons of the Roman Catholic Archdiocese of Calcutta."
regligion and prosecution,"Religious persecution is the systematic mistreatment of an individual or a group of individuals as a response to their religious beliefs or affiliations or their lack thereof. The tendency of societies or groups within societies to alienate or repress different subcultures is a recurrent theme in human history. Moreover, because a person's religion often determines his or her morality, world view, self-image, attitudes towards others, and overall personal identity to a significant extent, religious differences can be significant cultural, personal, and social factors.

Religious persecution may be triggered by religious bigotry (i.e. when members of a dominant group denigrate religions other than their own) or it may be triggered by the state when it views a particular religious group as a threat to its interests or security. At a societal level, the dehumanisation of a particular religious group may readily lead to violence or other forms of persecution. Indeed, in many countries, religious persecution has resulted in so much violence that it is considered a human rights problem."
nations,"A nation is a community of people formed on the basis of a combination of shared features such as language, history, ethnicity, culture and/or territory. A nation is thus the collective identity of a group of people understood as defined by those features. A nation is generally more overtly political than an ethnic group;[1][2] it has been described as ""a fully mobilized or institutionalized ethnic group"".[3] Some nations are equated with ethnic groups (see ethnic nationalism and nation state) and some are equated with an affiliation with a social and political constitution (see civic nationalism and multiculturalism).[3] A nation has also been defined as a cultural-political community that has become conscious of its autonomy, unity and particular interests.[4]

Benedict Anderson characterised a nation as an ""imagined community"",[5] and Paul James sees it as an ""abstract community"".[6] A nation is an imagined community in the sense that the material conditions exist for imagining extended and shared connections and that it is objectively impersonal, even if each individual in the nation experiences themselves as subjectively part of an embodied unity with others. For the most part, members of a nation remain strangers to each other and will likely never meet.[7] Hence the phrase, ""a nation of strangers"" used by such writers as American journalist Vance Packard.[8]"
